Platform,Free Usage,Free Daily Limit,Pay-as-you-go,Cost per Image,Factors Affecting Cost,Subscription Tiers (per month),Images per Month,Compute Benefits,Feature Benefits,API Available,Max Resolution,Watermark,Generation Speed,Commercial Use Allowed,Resolution_Num,Cost_Num,Lowest_Subscription_Price,API_Available_Num,Commercial_Use_Num,Watermark_Num,Cluster,PCA1,PCA2
Leonardo.ai,150 tokens/day,Yes (resets daily),No (subscription only),$0.001–$0.002,"Token usage, premium tools","Apprentice ($10), Artisan ($24), Maestro ($48)","~5500 to 60,000 tokens","Faster queue, more jobs","No watermark, private gen, model access",Yes,2048x2048,No,Fast,Yes,2048.0,0.001,10.0,1,1,0,1,-1.3488531138360738,-0.49951728246544436
Playground AI,Yes,1000 images/day,No (subscription model),"$0.00025 (Pro), $0.00075 (Turbo)","Tier, generation type","Pro ($15), Turbo ($45)","60,000 (Pro), 60,000+ (Turbo)","Fast queue, parallel gen","Private mode, aspect ratio, HD",No,1024x1024,Yes (on free plan),Moderate,Yes (paid),1024.0,0.00025,15.0,0,1,1,0,0.2263761452897965,-0.8697394482783976
NightCafe,5 credits daily,Yes (resets daily),Yes (credit packs),$0.035–$0.08,"Model, resolution","Beginner ($5.99), Hobbyist ($9.99), Enthusiast ($19.99), Artist ($49.99)",100–1400 credits,Faster queue,"No ads, private mode, community rewards",No,2048x2048,Yes (on free plan),Moderate,Yes (paid),2048.0,0.035,5.99,0,1,1,0,1.2398220112879812,-0.6588117532684549
Dream by WOMBO,Unlimited (ad-supported),No hard cap,No (subscription only),"$0 (free), or unlimited w/ $9.99/mo","Resolution, watermark removal",Premium ($9.99),Unlimited,"Faster gen, HD","No watermark, priority, private gen",No,1280x1280,Yes (free); No (Pro),Fast,Yes (paid),1280.0,0.0,9.99,0,1,1,0,0.32367556032511735,-1.0619227916096228
Artbreeder,Unlimited low-res,No cap (HD limited),No (subscription only),$0.05–$0.01 (HD),"Resolution, credit system","Starter ($7.49), Advanced ($15.99), Premium ($30.99)",100–700 credits,Faster rendering,"Private gen, high-res, remix control",Limited,2048x2048,No,Moderate,Yes,2048.0,0.05,7.49,0,1,0,0,0.8850725482297094,-0.6369709661436032
StarryAI,25/day,Yes (resets daily),No,$0 (free) or unlimited @ $15.99/week,,"Starter Plan ($1.99/week), Unlimited Pro ($7.99/week), Unlimited Pro Max ($15.99/week)",Unlimited,"Priority, HD","No watermark, full styles",No,1024x1024,Yes (free); No (Pro),Moderate,Yes (paid),1024.0,0.0,1.99,0,1,1,0,0.48856314697799225,-1.3626431156432328
Craiyon (DALL·E Mini),Unlimited (ad-supported),No cap (slower),No,"$0.08 (Pro credits), free with Lite",Model used (Lite vs Pro),"Supporter ($12), Professional ($24)","120–250 Pro credits, unlimited Lite",Priority queue for Pro,"No watermark, privacy options",No,512x512,Yes,Moderate,No,512.0,0.08,12.0,0,0,1,2,4.2733416590707565,1.4168544667226801
Modyfi,Yes (beta),No cap,N/A (free now),$0 (currently),Resolution,Planned Pro (~$5),Unlimited (expected),Likely faster & private workspace,"Editor features, storage, collab",Yes,2048x2048,No,Fast,Yes,2048.0,0.0,5.0,1,1,0,1,-1.269621265620939,-0.7032387429478665
ArtGuru,Yes (24 credits/day),24/day,Yes,$0.02–$0.04,"Model, settings","Weekly ($5.99), Monthly ($9.99), Yearly ($59.99)",100–unlimited,"Faster gen, more concurrent jobs","No watermark, commercial rights",No,1024x1024,Yes (free); No (Pro),Moderate,Yes (paid),1024.0,0.02,5.99,0,1,1,0,0.8825305878541975,-0.8961592304374784
Jasper Art,No (7 days trial via Jasper),Trial only,No,$0 (unlimited with sub),Usage volume,"Creator ($49), Pro ($69), Business ($125)",Unlimited,"Fast, high-res","No watermark, commercial use",Yes,2048x2048,No,Fast,Yes,2048.0,0.0,49.0,1,1,0,1,-2.1764816179945896,0.9504028640883672
